City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
419,Cockburn Town,TC,80.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
423,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
431,Bara,NG,81.99,overcast clouds,10.3744,10.7288,
437,Traverse City,US,73.83,scattered clouds,44.7631,-85.6206,Bayshore Resort
440,Rolandia,BR,73.31,broken clouds,-23.3097,-51.3692,Pousada Marabú
441,Banjar,ID,77.97,overcast clouds,-8.19,114.9675,The Hamsa Resort
445,Santana,BR,89.78,scattered clouds,-0.0583,-51.1817,Porto Santana
451,Cayenne,GF,86.04,light rain,4.9333,-52.3333,Hôtel Le Dronmi
453,San Luis,AR,80.71,overcast clouds,-33.295,-66.3356,Huarpes Hotel
456,Vertientes,CU,86.61,broken clouds,21.2594,-78.1464,
458,Malabo,GQ,79.3,overcast clouds,3.75,8.7833,Magno Suites Exclusive Hotel & Restaurant
459,Mairwa,IN,71.4,broken clouds,26.2333,84.15,Santosh Singh
460,Agadez,NE,70.38,clear sky,19.75,10.25,
462,Taylorville,US,73.87,clear sky,39.5489,-89.2945,Economy Inn
463,Lorengau,PG,80.73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
465,Acarau,BR,83.57,scattered clouds,-2.8856,-40.12,castelo pizzaria
468,Kindu,CD,70.02,overcast clouds,-2.95,25.95,Résidence Okanda
472,Samdari,IN,80.49,clear sky,25.8167,72.5833,Karnoba Ki Dhani
473,Gasa,PS,71.78,clear sky,31.5,34.4667,رابطة الفنانين الفلسطينيين
475,Aswan,EG,72.64,broken clouds,24.0934,32.907,Nuba Nile
476,Minab,IR,77.32,overcast clouds,27.1467,57.0801,Bam campground
477,Maraa,BR,81.27,broken clouds,-1.8333,-65.3667,
478,Alexandria,EG,70.84,clear sky,31.2156,29.9553,فندق قاعود
479,Ambo,PE,74.48,scattered clouds,-10.1308,-76.2047,La Loma Resort
482,Puerto Carreno,CO,79.14,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
484,Antalaha,MG,71.29,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
486,Matay,EG,70.54,broken clouds,28.419,30.7792,Nag Aespen
490,Fort Atkinson,US,71.65,broken clouds,42.9289,-88.8371,"Holiday Inn Express & Suites Fort Atkinson, an IHG Hotel"
492,Santa Maria,BR,72.66,clear sky,-29.6842,-53.8069,Hotel Morotin
493,Vangaindrano,MG,72.1,light rain,-23.35,47.6,Hotel Fanilo
498,Inhambane,MZ,73.38,scattered clouds,-23.865,35.3833,Oceano
499,Pucallpa,PE,86.04,few clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
505,Talladega,US,80.89,scattered clouds,33.4359,-86.1058,"Holiday Inn Express & Suites Talladega, an IHG Hotel"
507,Poum,NC,77.88,clear sky,-20.2333,164.0167,
508,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
512,Ugoofaaru,MV,81.72,few clouds,5.6667,73.0,Ungoofaaru Inn
