City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
213,Samarai,-10.6167,150.6667,81.09,80,64,7.02,PG,broken clouds
214,Mehamn,71.0357,27.8492,39.15,81,0,3.44,NO,clear sky
215,Haines Junction,60.7522,-137.5108,25.11,92,100,2.51,CA,light snow
216,Amuntai,-2.4177,115.2494,74.61,98,78,1.1,ID,broken clouds
217,Nisia Floresta,-6.0911,-35.2086,83.21,62,3,12.53,BR,light rain
218,Esperance,-33.8667,121.9,60.12,70,64,19.17,AU,broken clouds
219,Qinzhou,21.95,108.6167,69.94,60,100,5.48,CN,overcast clouds
220,Pangnirtung,66.1451,-65.7125,13.35,92,100,11.61,CA,overcast clouds
221,Manaure,11.7751,-72.4445,86.81,66,94,9.06,CO,overcast clouds
222,Bud,39.447,-86.1758,72.48,58,8,8.08,US,clear sky
223,Ola,59.5833,151.2833,25.29,81,100,21.16,RU,overcast clouds
224,Mecca,21.4267,39.8261,77.05,49,5,6.24,SA,clear sky
225,Thompson,55.7435,-97.8558,25.77,94,100,12.01,CA,light snow
226,College,64.8569,-147.8028,12.2,83,100,10.36,US,light snow
227,Dhidhdhoo,6.8833,73.1,81.82,74,100,8.43,MV,overcast clouds
228,Omboue,-1.5746,9.2618,76.42,87,100,4.23,GA,overcast clouds
229,Tasiilaq,65.6145,-37.6368,32.16,98,100,10.0,GL,light snow
230,Lixourion,38.2019,20.4314,67.51,79,0,2.98,GR,clear sky
231,Sept-Iles,50.2001,-66.3821,39.06,72,100,1.01,CA,overcast clouds
232,Ubinskoye,55.3068,79.6802,31.21,70,100,7.18,RU,overcast clouds
233,Kavaratti,10.5669,72.642,82.35,72,59,8.41,IN,broken clouds
234,Eureka,40.8021,-124.1637,52.2,93,17,1.99,US,few clouds
235,Sao Filipe,14.8961,-24.4956,82.4,53,100,10.96,CV,overcast clouds
236,Hamilton,39.1834,-84.5333,73.65,58,0,9.22,US,clear sky
237,Northam,51.0333,-4.2167,47.39,96,81,8.88,GB,broken clouds
238,Menongue,-14.6585,17.691,67.57,77,70,5.79,AO,broken clouds
239,Svetlyy,54.675,20.1347,42.96,80,2,8.48,RU,clear sky
240,Itarema,-2.9248,-39.9167,83.21,67,16,15.21,BR,few clouds
241,Salalah,17.0151,54.0924,80.69,69,20,4.61,OM,few clouds
242,Belmonte,-15.8631,-38.8828,72.14,85,100,16.62,BR,moderate rain
243,Snezhnogorsk,69.1933,33.2531,28.18,97,96,10.89,RU,overcast clouds
244,Lyuban,52.7985,28.0048,46.53,87,100,6.85,BY,overcast clouds
245,Rosarito,32.3333,-117.0333,64.26,50,6,23.51,MX,clear sky
246,Kalmunai,7.4167,81.8167,78.76,82,100,4.0,LK,light rain
247,Sibolga,1.7427,98.7792,75.65,90,100,1.05,ID,overcast clouds
248,Kaeo,-35.1,173.7833,60.33,97,33,3.13,NZ,scattered clouds
249,Pecanha,-18.5486,-42.5569,56.39,93,100,5.55,BR,overcast clouds
250,Saint Anthony,45.0205,-93.218,62.65,78,100,14.97,US,overcast clouds
251,Saint-Philippe,-21.3585,55.7679,72.99,83,100,10.18,RE,overcast clouds
252,Mabamba,-3.5983,30.5019,67.21,78,83,4.25,TZ,broken clouds
253,Maceio,-9.6658,-35.7353,83.64,69,40,14.97,BR,scattered clouds
254,Aklavik,68.2191,-135.0107,2.48,93,100,10.33,CA,overcast clouds
255,Mar Del Plata,-38.0023,-57.5575,65.82,75,0,14.0,AR,clear sky
256,Charlestown,-32.95,151.6667,57.69,96,99,1.99,AU,light rain
257,Saint Paul,44.9444,-93.0933,63.28,78,100,14.97,US,overcast clouds
258,Ascension,30.2169,-90.9001,85.19,45,0,5.75,US,clear sky
259,Hargeysa,9.56,44.065,70.57,69,54,6.13,SO,light rain
260,Almeria,37.1667,-2.3333,61.43,52,100,5.68,ES,overcast clouds
261,Durban,-29.8579,31.0292,71.92,94,100,3.0,ZA,moderate rain
262,Bowen,-20.0167,148.2333,70.09,73,0,11.23,AU,clear sky
263,Pisco,-13.7,-76.2167,66.25,72,100,8.05,PE,overcast clouds
264,Kharan,28.5833,65.4167,73.33,22,6,6.46,PK,clear sky
265,Vanimo,-2.6741,141.3028,77.72,89,71,3.85,PG,broken clouds
266,Ribeira Grande,38.5167,-28.7,68.4,94,75,8.01,PT,broken clouds
267,Kota Kinabalu,5.9749,116.0724,76.98,88,20,5.99,MY,few clouds
268,Tuktoyaktuk,69.4541,-133.0374,4.84,90,100,12.64,CA,overcast clouds
269,Mahajanga,-15.7167,46.3167,79.27,77,100,12.59,MG,overcast clouds
270,East London,-33.0153,27.9116,67.19,85,100,11.56,ZA,overcast clouds
271,Provideniya,64.3833,-173.3,11.3,73,92,6.62,RU,overcast clouds
272,Dwarka,22.2394,68.9678,80.64,68,0,10.42,IN,clear sky
273,Luanshya,-13.1367,28.4166,70.66,62,92,4.85,ZM,overcast clouds
274,Alice Springs,-23.7,133.8833,47.75,57,0,0.0,AU,clear sky
275,Itanhaem,-24.1831,-46.7889,66.65,70,73,7.61,BR,broken clouds
276,New Glasgow,45.5834,-62.6486,48.78,39,13,8.95,CA,few clouds
277,Bilma,18.6853,12.9164,73.62,20,91,7.99,NE,overcast clouds
278,Atbasar,51.8,68.3333,34.72,93,100,10.13,KZ,overcast clouds
279,Murici,-9.3067,-35.9433,82.69,59,65,14.03,BR,broken clouds
280,Klyuchi,52.2667,79.1667,33.71,63,17,6.67,RU,few clouds
281,Mariental,-24.6333,17.9667,76.73,7,5,18.37,NA,clear sky
282,Baoning,25.3378,110.026,65.64,57,100,5.1,CN,overcast clouds
283,Mokrousovo,55.8103,66.7653,33.39,93,100,7.94,RU,overcast clouds
284,Murgab,37.4966,61.9714,59.76,73,100,7.72,TM,overcast clouds
285,Port Moresby,-9.4431,147.1797,75.97,83,100,5.64,PG,overcast clouds
286,Matara,5.9485,80.5353,76.59,87,92,7.47,LK,overcast clouds
287,Tura,25.5198,90.2201,64.65,93,0,3.69,IN,clear sky
288,Le Port,-20.9373,55.2919,73.4,68,61,4.16,RE,broken clouds
289,Biak,-0.9131,122.8766,76.32,86,100,0.92,ID,overcast clouds
290,Bambous Virieux,-20.3428,57.7575,74.21,79,100,6.78,MU,light rain
291,Sao Jose Da Coroa Grande,-8.8978,-35.1478,80.85,68,9,13.91,BR,clear sky
292,Luncavita,45.2833,28.2667,46.71,54,99,4.47,RO,overcast clouds
293,Bridlington,54.0831,-0.1919,45.9,87,96,1.99,GB,overcast clouds
294,Port Hawkesbury,45.6169,-61.3485,50.92,66,8,11.99,CA,clear sky
295,Gat,31.61,34.7642,68.81,65,0,4.81,IL,clear sky
296,Juneau,58.3019,-134.4197,39.22,100,100,7.23,US,light snow
297,Esso,55.9333,158.7,22.26,97,100,5.66,RU,overcast clouds
298,Namatanai,-3.6667,152.4333,79.9,80,61,2.84,PG,broken clouds
299,Sena Madureira,-9.0656,-68.6569,91.06,21,36,5.35,BR,scattered clouds
300,Broome,42.2506,-75.833,70.2,42,0,10.36,US,clear sky
301,Yulara,-25.2406,130.9889,61.48,35,0,12.53,AU,clear sky
302,Komsomolskiy,40.4272,71.7189,56.12,82,100,4.61,UZ,mist
303,Nigde,37.8333,34.75,44.67,48,0,2.51,TR,clear sky
304,Ongandjera,-17.8833,15.0667,83.57,17,35,14.07,NA,scattered clouds
305,Galesong,-5.3166,119.3661,77.02,82,100,5.84,ID,overcast clouds
306,Chernyshevskiy,63.0128,112.4714,-0.02,95,12,4.09,RU,few clouds
307,Nouadhibou,20.931,-17.0347,74.08,60,0,17.11,MR,clear sky
308,Taunggyi,20.7833,97.0333,53.56,65,0,1.7,MM,clear sky
309,Mtwara,-10.2667,40.1833,75.72,86,11,7.29,TZ,few clouds
310,Conde,-7.2597,-34.9075,81.86,65,40,10.36,BR,scattered clouds
311,Shache,38.4167,77.2406,47.43,33,100,3.65,CN,overcast clouds
312,Auki,-8.7676,160.7034,76.62,88,54,3.4,SB,broken clouds
313,Selty,57.3132,52.1345,33.78,95,100,5.84,RU,overcast clouds
314,Howard Springs,-12.497,131.047,78.71,89,100,5.46,AU,moderate rain
315,Caravelas,-17.7125,-39.2481,70.09,91,100,19.15,BR,overcast clouds
316,Castro,-24.7911,-50.0119,64.98,50,41,5.93,BR,scattered clouds
317,Erenhot,43.6475,111.9767,27.73,34,0,7.49,CN,clear sky
318,Mariinskiy Posad,56.115,47.718,34.74,94,100,7.4,RU,overcast clouds
319,Juba,4.8517,31.5825,70.9,79,100,4.09,SS,light rain
320,Mpulungu,-8.7623,31.1141,81.63,43,99,5.55,ZM,overcast clouds
321,Cabedelo,-6.9811,-34.8339,83.07,68,19,12.03,BR,few clouds
322,Sakaiminato,35.55,133.2333,59.4,69,100,9.71,JP,overcast clouds
323,Paraiso,9.8383,-83.8656,73.31,80,100,2.64,CR,overcast clouds
324,Locri,38.2414,16.2623,62.31,70,0,8.57,IT,clear sky
325,Fergus Falls,46.283,-96.0776,42.06,87,100,14.97,US,mist
326,Azare,11.6765,10.1948,81.36,26,30,9.66,NG,scattered clouds
327,Veraval,20.9,70.3667,80.11,55,0,5.12,IN,clear sky
328,Mayo,38.8876,-76.5119,72.1,66,0,5.75,US,clear sky
329,Phalaborwa,-23.943,31.1411,76.19,58,100,6.98,ZA,overcast clouds
330,Ostrovnoy,68.0531,39.5131,34.56,88,59,17.09,RU,broken clouds
331,Ponta Do Sol,32.6667,-17.1,73.0,92,77,2.91,PT,broken clouds
332,Kiruna,67.8557,20.2251,34.72,100,100,12.66,SE,overcast clouds
333,Yellowknife,62.456,-114.3525,18.77,83,100,19.51,CA,overcast clouds
334,Camargo,27.6667,-105.1667,80.62,13,0,8.86,MX,clear sky
335,Rincon,32.296,-81.2354,78.76,41,40,9.22,US,scattered clouds
336,Iqaluit,63.7506,-68.5145,7.7,71,6,15.99,CA,clear sky
337,Rawson,-43.3002,-65.1023,83.7,15,0,27.0,AR,clear sky
338,Vila Franca Do Campo,37.7167,-25.4333,70.2,96,90,7.27,PT,overcast clouds
339,Kruisfontein,-34.0033,24.7314,66.88,82,25,11.81,ZA,scattered clouds
340,Bilibino,68.0546,166.4372,-20.94,90,4,4.34,RU,clear sky
341,Narsaq,60.9167,-46.05,41.22,60,100,17.07,GL,light rain
342,Batagay-Alyta,67.8006,130.4114,7.27,97,100,0.63,RU,light snow
343,Pacific Grove,36.6177,-121.9166,59.02,61,0,8.99,US,clear sky
344,Pechenga,69.5259,31.1703,34.63,93,100,12.64,RU,overcast clouds
345,Sirjan,29.452,55.6814,58.17,53,29,8.93,IR,scattered clouds
346,Souillac,-20.5167,57.5167,73.22,80,100,7.23,MU,overcast clouds
